Flow ID;Src IP;Src Port;Dst IP;Dst Port;Protocol;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min;Fwd Pkt Len Mean;Fwd Pkt Len Std;Bwd Pkt Len Max;Bwd Pkt Len Min;Bwd Pkt Len Mean;Bwd Pkt Len Std;Flow Byts/s;Flow Pkts/s;Flow IAT Mean;Flow IAT Std;Flow IAT Max;Flow IAT Min;Fwd IAT Tot;Fwd IAT Mean;Fwd IAT Std;Fwd IAT Max;Fwd IAT Min;Bwd IAT Tot;Bwd IAT Mean;Bwd IAT Std;Bwd IAT Max;Bwd IAT Min;Fwd PSH Flags;Bwd PSH Flags;Fwd URG Flags;Bwd URG Flags;Fwd Header Len;Bwd Header Len;Fwd Pkts/s;Bwd Pkts/s;Pkt Len Min;Pkt Len Max;Pkt Len Mean;Pkt Len Std;Pkt Len Var;FIN Flag Cnt;SYN Flag Cnt;RST Flag Cnt;PSH Flag Cnt;ACK Flag Cnt;URG Flag Cnt;CWE Flag Count;ECE Flag Cnt;Down/Up Ratio;Pkt Size Avg;Fwd Seg Size Avg;Bwd Seg Size Avg;Fwd Byts/b Avg;Fwd Pkts/b Avg;Fwd Blk Rate Avg;Bwd Byts/b Avg;Bwd Pkts/b Avg;Bwd Blk Rate Avg;Subflow Fwd Pkts;Subflow Fwd Byts;Subflow Bwd Pkts;Subflow Bwd Byts;Init Fwd Win Byts;Init Bwd Win Byts;Fwd Act Data Pkts;Fwd Seg Size Min;Active Mean;Active Std;Active Max;Active Min;Idle Mean;Idle Std;Idle Max;Idle Min;Label
134.221.96.9-0.150.4.214-0-0-0;134221969;0;1504214;0;0;25/03/2025 00:01;3761719;6;1;0;0;0;0;0;0;0;0;0;0;0;18.608.513.820.410.200;6,27E+15;1,48E+15;36420390;270;37616810;7,52E+15;1,62E+16;36420390;270;0;0;0;0;0;0;0;0;0;0;0;1,60E+16;2,66E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.104.0-0.0.1.53-0-0-0;1342211040;0;153;0;0;25/03/2025 00:01;13739391;1;1;0;0;0;0;0;0;0;0;0;0;0;0.1455668595500339;1,37E+14;0;1,37E+14;1,37E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,28E+15;7,28E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;1,37E+14;0;1,37E+14;1,37E+14;0
134.221.96.3-154.115.2.183-0-0-0;134221963;0;1541152183;0;0;25/03/2025 00:02;6568034;1;1;0;0;0;0;0;0;0;0;0;0;0;0.3045051228419341;65680340;0;65680340;65680340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,52E+16;1,52E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;65680340;0;65680340;65680340;0
134.221.96.8-159.86.0.20-0-0-0;134221968;0;15986020;0;0;25/03/2025 00:02;45566058;3;1;0;0;0;0;0;0;0;0;0;0;0;0.0877846400493981;1,52E+14;1,06E+23;2,72E+14;71840790;3,84E+14;1,92E+15;1,13E+23;2,72E+14;1,12E+14;0;0;0;0;0;0;0;0;0;0;0;6,58E+15;2,19E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;-1;-1;0;0;0;0;0;0;1,52E+14;1,06E+23;2,72E+14;71840790;0
134.221.96.0-0.0.2.243-0-0-0;134221960;0;2243;0;0;25/03/2025 00:01;3439493;2;1;0;0;0;0;0;0;0;0;0;0;0;0.8722215745169418;17197465;2,08E+15;31935960;2458970;2458970;2458970;0;2458970;2458970;0;0;0;0;0;0;0;0;0;0;0;5,81E+15;2,91E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.3-57.190.0.175-0-0-0;134221963;0;571900175;0;0;25/03/2025 00:00;964760;1;1;0;0;0;0;0;0;0;0;0;0;0;20.730.544.384.095.500;9647600;0;9647600;9647600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,04E+16;1,04E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.6-94.206.0.20-0-0-0;134221966;0;94206020;0;0;25/03/2025 00:00;342253;4;1;0;0;0;0;0;0;0;0;0;0;0;14.609.075.742.214.000;8556325;1,32E+16;2823880;2220;3194410;1,06E+16;1,53E+16;2823880;2220;0;0;0;0;0;0;0;0;0;0;0;1,17E+16;2,92E+15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
134.221.96.0-0.0.0.30-0-0-0;134221960;0;30;0;0;25/03/2025 00:02;44737872;2;1;0;0;0;0;0;0;0;0;0;0;0;0.06705727979194;2,24E+14;1,95E+23;3,62E+14;85553570;3,62E+14;3,62E+14;0;3,62E+14;3,62E+14;0;0;0;0;0;0;0;0;0;0;0;4,47E+16;2,24E+16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;0;0;0;0;2,24E+14;1,95E+23;3,62E+14;85553570;0
134.221.96.7-34.209.4.184-0-0-0;134221967;0;342094184;0;0;25/03/2025 00:02;3138;2;1;0;0;0;0;0;0;0;0;0;0;0;9.560.229.445.506.690;15690;2,01E+15;29880;1500;29880;29880;0;29880;29880;0;0;0;0;0;0;0;0;0;0;0;6,37E+14;3,19E+14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0
185.159.159.143-192.168.188.24-443-59038-6;1,85E+11;443;19216818824;59038;6;25/03/2025 00:01;41616;1;2;0;240;0;0;0;0;240;0;120;1,70E+15;5,77E+15;7.208.765.859.284.890;208080;2,94E+16;416020;140;0;0;0;0;0;140;140;0;140;140;0;1;0;0;20;40;2,40E+16;4,81E+15;0;240;120;1,39E+16;1920;1;0;0;1;1;0;0;0;20;160;0;120;0;0;0;0;0;0;1;0;2;24;-1;0;0;0;0;0;0;0;0;0;0;0;0
